Thinai / Type,Landscape,Emotional / Cultural Meaning,Associated Context,Example User Query,Canonical Query Form,Difficulty_Level,Language_Level,Related_Concepts,Source_Reference
Kurinji,Mountain,"Union, joy, secret love",Akam – lovers’ union,kurinji meaning in tolkaapiyam,Akam → Thinai → Kurinji → Union,Student,Simple Tamil,"Akam, Thinai, Love",Tolkappiyam – Porul Athikaram
Mullai,Forest,"Waiting, patience, hope",Akam – waiting heroine,mullai thinai usage,Akam → Thinai → Mullai → Waiting,Student,Simple Tamil,"Akam, Thinai, Patience",Tolkappiyam – Porul Athikaram
Marutham,Farmland,"Conflict, infidelity",Akam – lover’s quarrel,marutham love problem,Akam → Thinai → Marutham → Conflict,Student,Simple Tamil,"Akam, Thinai, Conflict",Tolkappiyam – Porul Athikaram
Neithal,Seashore,"Longing, sorrow",Akam – separation anxiety,neithal emotion explain,Akam → Thinai → Neithal → Longing,Student,Simple Tamil,"Akam, Thinai, Separation",Tolkappiyam – Porul Athikaram
Paalai,Desert,"Separation, hardship",Akam – forced separation,palai meaning,Akam → Thinai → Paalai → Separation,Student,Simple Tamil,"Akam, Thinai, Journey",Tolkappiyam – Porul Athikaram
Puram,—,"War, heroism, charity",Outer life themes,what is puram?,Porul → Puram,Student,Simple Tamil,"Porul, Society, War",Tolkappiyam – Porul Athikaram
Akam,—,Inner emotional life,Love poetry,what is akam?,Porul → Akam,Student,Simple Tamil,"Porul, Love, Emotion",Tolkappiyam – Porul Athikaram
Culture,—,"Ethics, values",Social conduct,aram meaning,Culture → Aram,Student,Simple Tamil,"Aram, Panbu, Society",Tolkappiyam – Culture
Kurinji,Mountain,Romantic happiness,Akam poetry,why mountains used for love poems?,Akam Thinai Kurinji symbolism,Student,Simple Tamil,"Akam, Thinai, Love",Tolkappiyam – Porul Athikaram
Mullai,Forest,Domestic calm,Emotional endurance,mullai thinai usage,Akam Thinai Mullai context,Student,Simple Tamil,"Akam, Thinai, Patience",Tolkappiyam – Porul Athikaram
Marutham,Farmland,Relationship tension,Social interaction,marutham love problem,Akam Thinai Marutham explanation,Student,Simple Tamil,"Akam, Thinai, Conflict",Tolkappiyam – Porul Athikaram
Neithal,Seashore,Painful waiting,Emotional distress,neithal emotion explain,Akam Thinai Neithal emotional context,Student,Simple Tamil,"Akam, Thinai, Separation",Tolkappiyam – Porul Athikaram
Paalai,Desert,"Suffering, journey",Long travel,why palai is sad?,Akam Thinai Paalai explanation,Student,Simple Tamil,"Akam, Thinai, Journey",Tolkappiyam – Porul Athikaram
Akam (General),—,Inner emotional life,Love poetry,love types in tolkappiyam,Akam → Thinai classification,Student,Simple Tamil,"Akam, Thinai",Tolkappiyam – Porul Athikaram
Akam (General),—,Emotional stages,Relationships,akam poems explain,Akam thematic overview,Student,Simple Tamil,"Akam, Relationships",Tolkappiyam – Porul Athikaram
Multiple Thinai,Multiple,Emotional transition,Changing love states,love changes in tamil poems,Akam → Multi-Thinai mapping,Student,Simple Tamil,"Akam, Thinai",Tolkappiyam – Porul Athikaram
Grammar-linked,—,Concept clarification,Literary theory,what is thinai in grammar?,Porul → Akam → Thinai definition,Student,Simple Tamil,"Porul, Akam, Thinai",Tolkappiyam – Grammar
Grammar-linked,—,Definition,Learning,define akam and puram,Porul → Akam vs Puram,Student,Simple Tamil,"Porul, Akam, Puram",Tolkappiyam – Grammar
Grammar-linked,—,Classification doubt,Student query,is thinai grammar or meaning?,Porul → Akam → Thinai role,Student,Simple Tamil,"Porul, Akam, Thinai",Tolkappiyam – Grammar
Puram,—,"War, heroism",Outer life,war poems in tolkaapiyam,Porul → Puram → Por,Student,Simple Tamil,"Porul, War",Tolkappiyam – Porul Athikaram
Puram,—,Charity,Ethical action,kodai meaning in tamil literature,Porul → Puram → Kodai,Student,Simple Tamil,"Porul, Charity",Tolkappiyam – Porul Athikaram
Puram,—,Fame,Social value,what is pukazh?,Porul → Puram → Pukazh,Student,Simple Tamil,"Porul, Fame",Tolkappiyam – Porul Athikaram
Puram,—,Messenger role,Social interaction,thoothu theme explain,Porul → Puram → Thoothu,Student,Simple Tamil,"Porul, Society",Tolkappiyam – Porul Athikaram
Culture,—,Ethics,Moral values,aram meaning simply,Culture → Aram explanation,Student,Simple Tamil,"Aram, Ethics",Tolkappiyam – Culture
Culture,—,Love as virtue,Social norm,anbu concept in tolkaapiyam,Culture → Anbu,Student,Simple Tamil,"Anbu, Love",Tolkappiyam – Culture
Culture,—,Hospitality,Social duty,virundhombal meaning,Culture → Virundhombal,Student,Simple Tamil,Virundhombal,Tolkappiyam – Culture
Culture,—,Chastity,Social ideal,karpam meaning,Culture → Karpam,Student,Simple Tamil,Karpam,Tolkappiyam – Culture
Mixed,—,Ambiguous intent,Needs disambiguation,explain tolkaapiyam concept,Meta → Tolkāppiyam overview,Student,Simple Tamil,"Meta, Tolkappiyam",Tolkappiyam – Meta
Mixed,—,Classification doubt,Conceptual,is this akam or puram?,Porul → Akam vs Puram,Student,Simple Tamil,"Porul, Akam, Puram",Tolkappiyam – Meta
Student-level,—,Simple explanation,Learning,explain thinai simply,Thinai overview with examples,Student,Simple Tamil,Thinai,Tolkappiyam – Teaching
Research-level,—,Scholarly interpretation,Analysis,thinai theory explanation,Akam → Thinai → Theory,Research,Academic Tamil,"Akam, Thinai, Theory",Tolkappiyam – Research
